date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:06	48726/48726	---M-Z	200	added ('OK')	text/html	etag:W/%2271d2f535b99970844502250746b9534f-gzip%22	https://www.strengthcoachglasgow.co.uk/blog/5-tips-to-maximise-your-fitness-results	C:/My%20Web%20Sites/f4h/www.strengthcoachglasgow.co.uk/blog/5-tips-to-maximise-your-fitness-results.html	(from https://www.strengthcoachglasgow.co.uk/)
13:13:07	727/727	---M--	200	added ('OK')	image/png	etag:%22fff5d86ea4c71876d5f1255992857fb7%22	https://www.strengthcoachglasgow.co.uk/uploads/1/2/3/3/123320581/untitled-design-532_4.png	C:/My%20Web%20Sites/f4h/www.strengthcoachglasgow.co.uk/uploads/1/2/3/3/123320581/untitled-design-532_4.png	(from https://www.strengthcoachglasgow.co.uk/)
13:13:08	727/727	---M--	200	added ('OK')	image/png	etag:%22fff5d86ea4c71876d5f1255992857fb7%22	https://www.strengthcoachglasgow.co.uk/uploads/1/2/3/3/123320581/untitled-design-532_3.png	C:/My%20Web%20Sites/f4h/www.strengthcoachglasgow.co.uk/uploads/1/2/3/3/123320581/untitled-design-532_3.png	(from https://www.strengthcoachglasgow.co.uk/)
13:13:08	2493/2493	---M--	200	added ('OK')	image/png	etag:%225faaab8f58d1882503371511be9a8894%22	https://www.strengthcoachglasgow.co.uk/uploads/1/2/3/3/123320581/facebook-round_3_orig.png	C:/My%20Web%20Sites/f4h/www.strengthcoachglasgow.co.uk/uploads/1/2/3/3/123320581/facebook-round_3_orig.png	(from https://www.strengthcoachglasgow.co.uk/)
13:13:08	14329/14329	---M--	200	added ('OK')	image/png	etag:%22dbec8a2618717f841cf9ebfc50b01935%22	https://www.strengthcoachglasgow.co.uk/uploads/1/2/3/3/123320581/instagram-round-new-100_1.png	C:/My%20Web%20Sites/f4h/www.strengthcoachglasgow.co.uk/uploads/1/2/3/3/123320581/instagram-round-new-100_1.png	(from https://www.strengthcoachglasgow.co.uk/)
13:13:09	4212/4212	---M--	200	added ('OK')	image/png	etag:%225fa4c5c95d9e530cce586c209f82e0f4%22	https://www.strengthcoachglasgow.co.uk/uploads/1/2/3/3/123320581/youtube-round_3_orig.png	C:/My%20Web%20Sites/f4h/www.strengthcoachglasgow.co.uk/uploads/1/2/3/3/123320581/youtube-round_3_orig.png	(from https://www.strengthcoachglasgow.co.uk/)
13:13:09	49096/49096	---M-Z	200	added ('OK')	text/html	etag:W/%22d13d99d4f1237246565340b887119fdc-gzip%22	https://www.strengthcoachglasgow.co.uk/at-home-personal-training.html	C:/My%20Web%20Sites/f4h/www.strengthcoachglasgow.co.uk/at-home-personal-training.html	(from https://www.strengthcoachglasgow.co.uk/)
13:13:10	7547/7547	---M--	200	added ('OK')	text/javascript	etag:%221d7b-5918f23f05a1d%22	https://www.bark.com/js/widgets.min.js	C:/My%20Web%20Sites/f4h/www.bark.com/js/widgets.min.js	(from https://www.strengthcoachglasgow.co.uk/)
13:13:12	148630/148630	---M--	200	added ('OK')	image/png	etag:%225d515258-24496%22	https://origympersonaltrainercourses.co.uk/files/img_cache/3506/500_1565610548_Award2.png	C:/My%20Web%20Sites/f4h/origympersonaltrainercourses.co.uk/files/img_cache/3506/500_1565610548_Award2.png	(from https://www.strengthcoachglasgow.co.uk/)
13:13:12	661325/661325	---M--	200	added ('OK')	image/png	etag:%222d0728896b93144195096c88b0571e5a%22	https://www.strengthcoachglasgow.co.uk/uploads/1/2/3/3/123320581/published/5tipsmaximiseresultsscg_1.png?1549642126	C:/My%20Web%20Sites/f4h/www.strengthcoachglasgow.co.uk/uploads/1/2/3/3/123320581/published/5tipsmaximiseresultsscg_16ce6.png	(from https://www.strengthcoachglasgow.co.uk/)
